city_name,total_trips,avg_fair_per_km,avg_fair_amount,percent_contribution
Chandigarh,38981,12.17599227,283.6870,9.1526
Coimbatore,21104,11.30485444,166.9822,4.9551
Indore,42456,11.06559860,179.8386,9.9685
Jaipur,76888,16.25218302,483.9181,18.0529
Kochi,50702,14.13468563,335.2451,11.9046
Lucknow,64299,12.14309269,147.1804,15.0971
Mysore,16238,15.39967755,249.7072,3.8126
Surat,54843,10.91605974,117.2729,12.8769
Vadodara,32026,10.54417964,118.5662,7.5196
Visakhapatnam,28366,12.70375607,282.6723,6.6602
