city_name,month_name,actual_trips,target_trips,performance_status,%_difference
Chandigarh,January,6810,7000.0000,"Below Target",2.71428571
Chandigarh,February,7387,7000.0000,"Above Target",5.52857143
Chandigarh,March,6569,7000.0000,"Below Target",6.15714286
Chandigarh,April,5566,6000.0000,"Below Target",7.23333333
Chandigarh,May,6620,6000.0000,"Above Target",10.33333333
Chandigarh,June,6029,6000.0000,"Above Target",0.48333333
Coimbatore,January,3651,3500.0000,"Above Target",4.31428571
Coimbatore,February,3404,3500.0000,"Below Target",2.74285714
Coimbatore,March,3680,3500.0000,"Above Target",5.14285714
Coimbatore,April,3661,3500.0000,"Above Target",4.60000000
Coimbatore,May,3550,3500.0000,"Above Target",1.42857143
Coimbatore,June,3158,3500.0000,"Below Target",9.77142857
Indore,January,6737,7000.0000,"Below Target",3.75714286
Indore,February,7210,7000.0000,"Above Target",3.00000000
Indore,March,7019,7000.0000,"Above Target",0.27142857
Indore,April,7415,7500.0000,"Below Target",1.13333333
Indore,May,7787,7500.0000,"Above Target",3.82666667
Indore,June,6288,7500.0000,"Below Target",16.16000000
Jaipur,January,14976,13000.0000,"Above Target",15.20000000
Jaipur,February,15872,13000.0000,"Above Target",22.09230769
Jaipur,March,13317,13000.0000,"Above Target",2.43846154
Jaipur,April,11406,9500.0000,"Above Target",20.06315789
Jaipur,May,11475,9500.0000,"Above Target",20.78947368
Jaipur,June,9842,9500.0000,"Above Target",3.60000000
Kochi,January,7344,7500.0000,"Below Target",2.08000000
Kochi,February,7688,7500.0000,"Above Target",2.50666667
Kochi,March,9495,7500.0000,"Above Target",26.60000000
Kochi,April,9762,9000.0000,"Above Target",8.46666667
Kochi,May,10014,9000.0000,"Above Target",11.26666667
Kochi,June,6399,9000.0000,"Below Target",28.90000000
Lucknow,January,10858,13000.0000,"Below Target",16.47692308
Lucknow,February,12060,13000.0000,"Below Target",7.23076923
Lucknow,March,11224,13000.0000,"Below Target",13.66153846
Lucknow,April,10212,11000.0000,"Below Target",7.16363636
Lucknow,May,9705,11000.0000,"Below Target",11.77272727
Lucknow,June,10240,11000.0000,"Below Target",6.90909091
Mysore,January,2485,2000.0000,"Above Target",24.25000000
Mysore,February,2668,2000.0000,"Above Target",33.40000000
Mysore,March,2633,2000.0000,"Above Target",31.65000000
Mysore,April,2603,2500.0000,"Above Target",4.12000000
Mysore,May,3007,2500.0000,"Above Target",20.28000000
Mysore,June,2842,2500.0000,"Above Target",13.68000000
Surat,January,8358,9000.0000,"Below Target",7.13333333
Surat,February,9069,9000.0000,"Above Target",0.76666667
Surat,March,9267,9000.0000,"Above Target",2.96666667
Surat,April,9831,10000.0000,"Below Target",1.69000000
Surat,May,9774,10000.0000,"Below Target",2.26000000
Surat,June,8544,10000.0000,"Below Target",14.56000000
Vadodara,January,4775,6000.0000,"Below Target",20.41666667
Vadodara,February,5228,6000.0000,"Below Target",12.86666667
Vadodara,March,5598,6000.0000,"Below Target",6.70000000
Vadodara,April,5941,6500.0000,"Below Target",8.60000000
Vadodara,May,5799,6500.0000,"Below Target",10.78461538
Vadodara,June,4685,6500.0000,"Below Target",27.92307692
Visakhapatnam,January,4468,4500.0000,"Below Target",0.71111111
Visakhapatnam,February,4793,4500.0000,"Above Target",6.51111111
Visakhapatnam,March,4877,4500.0000,"Above Target",8.37777778
Visakhapatnam,April,4938,5000.0000,"Below Target",1.24000000
Visakhapatnam,May,4812,5000.0000,"Below Target",3.76000000
Visakhapatnam,June,4478,5000.0000,"Below Target",10.44000000
